ds,yhat,yhat_lower,yhat_upper
2003-01-01,161577.0171223544,126123.28581817554,197873.75504569858
2003-02-01,166691.7754021536,131365.77108081727,202024.02844382694
2003-03-01,152774.32990580268,116497.81724810641,190529.62471610494
2003-04-01,169580.67587002978,133270.82089601958,207088.46501992416
2003-05-01,207676.19037630002,171768.57931803312,243473.12178928973
2003-06-01,175728.9844306758,138800.0850457328,211120.40429364936
2003-07-01,201116.88874494808,162864.96743786568,238700.12917495923
2003-08-01,210693.62721500517,175339.97398550744,248387.88113370718
2003-09-01,271659.5095377798,233793.6568643972,304995.62375510857
2003-10-01,566240.8398765452,531495.2349890014,601575.8533779037
2003-11-01,1015702.8208414954,980946.6952933377,1050745.8016511155
2003-12-01,237068.9092503098,201761.32754586733,273669.01298091275
2004-01-01,264208.92737051134,226530.78096820466,299545.4896988989
2004-02-01,258047.20212744304,220838.81075605072,294463.6518040122
2004-03-01,253647.89921699947,219513.39366128793,287589.93100056663
2004-04-01,189035.44327089938,152754.53292545243,221258.5984373445
2004-05-01,311128.567335513,273811.75173342065,346286.9509612465
2004-06-01,278808.4324622994,240243.774098403,315106.6418095394
2004-07-01,313726.15616490814,278693.50377784326,352111.0671028516
2004-08-01,448694.9394083214,411122.5383572043,484399.3607633157
2004-09-01,313254.4129039446,279028.18446981045,346172.7510840243
2004-10-01,555259.9959238023,517890.33592786716,589144.6119918172
2004-11-01,1103512.3074038005,1066326.211758634,1139631.4542322005
2004-12-01,397797.1936521359,360373.7569797385,432473.7625982981
2005-01-01,360212.89430310053,325492.22444962524,395857.80673129373
2005-02-01,385865.16351235897,351939.04624065146,419214.2212320587
2005-03-01,347643.93039031443,311091.3418358811,382444.6099287518
2005-04-01,310431.50674079196,275538.512399151,342667.39130083687
2005-05-01,404885.2227135468,369910.17428550625,440906.20552240795
2005-05-31,365237.6464922713,328746.7573284216,400017.6198680756
2005-06-30,382589.64080520684,347587.8381351729,421222.53413967404
2005-07-31,312709.47085597744,276827.0072665167,349318.2252385837
2005-08-31,506732.59656788304,472626.11352625943,541802.6202069834
2005-09-30,827581.5726329298,792723.4853204541,865739.4979436152
2005-10-31,1205186.5364981121,1168873.317643628,1243274.347168092
2005-11-30,382082.46542043856,348090.5312009358,416808.230936075
2005-12-31,452507.0835609401,417123.3090082889,487024.1830018088
2006-01-31,425317.60187551007,389869.91037826,461946.6579803059
2006-02-28,448900.5018561116,412263.6384666346,486795.96723404166
2006-03-31,540660.3370706352,504124.12422685744,575203.0082396462
2006-04-30,488332.3212861311,452156.7153655258,520499.9150506794
